player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles,season,week
Markus Golden,9491,ED,1,ARZ,0,0,1,0,0,0,60.0,,,,,,0,0,0,0,0,2016,6
Jordan Richards,9497,S,1,NE,5,7,2,3,0,0,66.4,,,,,,0,0,1,0,0,2016,6
A.J. Cann,9500,G,1,JAX,0,0,0,0,0,3,60.7,,,,,,0,0,0,0,0,2016,6
Clive Walford,9501,TE,1,OAK,6,0,0,0,0,3,55.6,,,,,,0,0,0,0,0,2016,6
Tyler Lockett,9502,WR,1,SEA,5,0,4,0,0,0,59.9,,59.3,,61.6,,0,0,0,0,0,2016,6
Jamon Brown,9505,G,1,LA,0,0,0,0,0,4,60.9,,,,,,0,0,0,0,0,2016,6
Owa Odighizuwa,9507,ED,1,NYG,0,0,6,0,0,0,60.9,,,,,,0,0,0,0,0,2016,6
Duke Johnson Jr.,9510,HB,1,CLV,0,0,4,2,0,0,51.5,,,,69.6,,0,0,0,0,0,2016,6
Eli Harold,9512,ED,1,SF,0,5,4,0,0,0,60.6,,,,,,0,0,0,0,0,2016,6
John Miller,9514,G,1,BUF,0,0,0,0,0,7,61.5,,,,,,0,0,0,0,0,2016,6
Craig Mager,9516,CB,1,SD,0,2,4,0,1,0,66.6,,,,,,0,0,0,0,0,2016,6
Jordan Hicks,9517,LB,1,PHI,0,0,0,0,5,0,60.2,,,,,,0,0,0,0,0,2016,6
Tyler Kroft,9518,TE,1,CIN,7,0,3,4,0,3,58.2,,,,,,0,0,0,0,0,2016,6
Sammie Coates,9520,WR,1,PIT,0,0,1,2,0,0,53.3,,,,,,0,0,0,0,0,2016,6
Henry Anderson,9526,DI,1,IND,0,0,0,0,5,0,59.2,,,,,,0,0,0,0,0,2016,6
Ty Montgomery,9527,HB,1,GB,7,3,2,0,0,0,60.6,,62.3,,,,0,0,0,0,0,2016,6
Geneo Grissom,9530,ED,1,NE,4,7,4,3,3,0,61.2,,,,,,0,0,0,0,0,2016,6
Steven Nelson,9531,CB,1,KC,2,0,2,0,1,0,56.9,,,,,,0,0,0,0,0,2016,6
Angelo Blackson,9533,DI,1,TEN,0,0,1,0,4,0,60.1,,,,,,0,0,0,0,0,2016,6
Daryl Williams,9535,T,1,CAR,0,0,0,0,0,5,60.3,,,,,,0,0,0,0,0,2016,6
