player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties,season,week
Terrance Knighton,4995,DI,1,DEN,33,22,11,0,55.3,65.8,69.5,55.9,,2,0,0,2,0,0,2,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
DeAndre Levy,4999,LB,1,DET,64,10,11,43,65.9,43.7,77.3,71.8,68.3,3,2,0,1,0,2,0,0,3,0,5,2,5,2.5,6,4.0,0,0,0,47.9,0,0,2014,14
Roy Miller,5004,DI,1,JAX,33,10,23,0,42.6,58.0,68.7,64.8,,1,0,0,1,0,1,1,0,1,0,0,0,0,,0,,0,0,0,0.0,2,0,2014,14
Lardarius Webb,5011,CB,1,BLT,57,0,16,41,66.6,62.6,72.5,,66.2,0,0,0,0,0,1,0,0,0,0,1,1,17,17.0,0,17.0,0,0,0,118.8,0,0,2014,14
Chris Owens,5013,CB,1,KC,48,2,16,30,74.9,69.0,74.5,74.0,71.4,1,0,0,1,0,2,0,0,1,0,5,2,9,4.5,9,8.0,0,0,0,47.9,0,0,2014,14
Jerraud Powers,5015,CB,1,ARZ,36,3,9,24,59.6,49.9,80.8,55.2,64.4,2,0,0,2,0,3,1,0,2,0,4,3,20,6.7,5,10.0,0,0,0,85.4,0,0,2014,14
Rashad Johnson,5018,S,1,ARZ,65,0,16,49,29.6,42.1,30.4,,37.5,0,0,0,0,0,1,0,1,0,0,1,1,8,8.0,5,8.0,0,0,0,100.0,0,0,2014,14
Keenan Lewis,5019,CB,1,NO,48,0,22,26,42.8,52.2,72.8,,42.3,0,0,0,0,0,1,0,0,0,0,7,3,40,13.3,8,16.0,2,0,0,101.2,0,0,2014,14
Henry Melton,5028,DI,1,DAL,25,24,1,0,66.0,60.0,67.3,63.5,60.0,0,0,0,0,2,1,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Glover Quin,5035,S,1,DET,64,0,11,53,79.0,63.1,78.2,,74.0,0,0,0,0,0,2,0,0,0,0,2,1,50,50.0,3,50.0,0,1,1,56.3,0,0,2014,14
