season,week,team_name,team_name_games,opponent,fantasy_points,points_allowed_passing,points_allowed_receiving,points_allowed_return_team,points_allowed_rushing,points_allowed_total,points_scored
2013,9,SD,LAC,WAS,10.0,10.64,40.6,0.0,44.89999999999999,96.14,42.0
2013,9,SEA,SEA,TB,22.0,18.8,44.0,0.0,20.5,83.3,36.0
2013,9,SL,LAR,TEN,11.0,5.4,25.0,0.0,43.8,74.2,34.0
2013,9,TB,TB,SEA,22.0,14.68,43.2,0.0,25.8,83.68,45.0
2013,9,TEN,TEN,LAR,16.0,12.4,37.00000000000001,0.0,24.00000000000001,73.40000000000002,21.0
2013,9,WAS,WAS,LAC,25.0,19.64,60.6,0.0,6.9,87.14,18.0
2013,10,ARZ,ARI,HOU,26.0,20.04,49.1,0.0,5.6000000000000005,74.74000000000002,36.0
2013,10,ATL,ATL,SEA,22.0,19.48,50.2,0.0,27.4,97.08,39.0
2013,10,BLT,BAL,CIN,25.0,15.96,51.4,0.0,10.0,77.36,29.0
2013,10,BUF,BUF,PIT,19.0,11.16,35.4,0.0,19.6,66.16,29.0
2013,10,CAR,CAR,SF,14.0,2.64,14.6,0.0,8.500000000000002,25.74,9.0
2013,10,CHI,CHI,DET,27.0,19.76,48.9,0.0,12.500000000000002,81.16,33.0
2013,10,CIN,CIN,BAL,25.0,11.6,36.0,0.0,6.5,54.1,32.0
2013,10,DAL,DAL,NO,36.0,31.68,80.20000000000002,0.0,42.2,154.08,55.0
2013,10,DEN,DEN,LAC,12.0,12.72,37.3,0.0,17.099999999999998,67.11999999999999,44.0
2013,10,DET,DET,CHI,16.0,19.48,56.7,0.0,3.8,79.97999999999998,37.0
2013,10,GB,GB,PHI,31.0,21.12,46.8,0.0,18.4,86.32000000000002,33.0
2013,10,HST,HOU,ARI,24.0,16.64,46.1,0.0,5.699999999999998,68.44,39.0
2013,10,IND,IND,LAR,20.0,17.880000000000006,41.2,6.0,17.699999999999996,82.78,38.0
