"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","high","3.0","34.0","0.3","0.1","1.0","0.0","0.0","4.0"
"","low","1.3","13.0","0.0","0.0","0.0","0.0","0.0","2.4"
"Breshad Perriman","TB","1.8","25.8","0.1","0.1","0.8","0.0","0.0","3.4"
"","high","2.1","36.0","0.2","0.2","1.2","0.0","0.0","4.7"
"","low","1.0","17.0","0.0","0.1","0.4","0.0","0.0","1.7"
"Deon Cain","IND","1.9","23.4","0.1","0.2","1.1","0.0","0.0","3.2"
"","high","2.1","26.9","0.2","0.5","3.2","0.0","0.0","3.9"
"","low","1.8","19.0","0.0","0.0","0.0","0.0","0.0","2.6"
"Zay Jones","OAK","2.3","25.3","0.1","0.2","1.1","0.0","0.0","3.2"
"","high","2.9","32.8","0.2","0.4","2.2","0.0","0.0","3.8"
"","low","1.8","20.0","0.0","0.1","0.1","0.0","0.0","2.9"
"KeeSean Johnson","ARI","2.2","24.7","0.1","0.2","1.0","0.0","0.0","3.2"
"","high","2.6","31.8","0.2","0.5","3.5","0.0","0.0","4.2"
"","low","1.7","18.0","0.0","0.0","0.0","0.0","0.0","2.5"
"Tre'Quan Smith","NO","1.5","19.4","0.2","0.1","0.8","0.0","0.0","3.1"
"","high","2.2","33.3","0.5","0.4","2.7","0.0","0.0","6.4"
"","low","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.5"
"Antonio Callaway","CLE","2.0","26.7","0.1","0.0","0.1","0.0","0.0","3.1"
"","high","2.4","31.7","0.2","0.1","0.3","0.0","0.0","3.4"
"","low","1.3","18.0","0.0","0.0","0.0","0.0","0.1","2.4"
"Cody Latimer","NYG","1.8","23.3","0.1","0.2","1.3","0.0","0.0","3.1"
"","high","2.3","31.0","0.2","0.8","5.0","0.0","0.0","3.8"
"","low","1.4","18.0","0.0","0.0","0.0","0.0","0.0","1.8"
"Bennie Fowler","NYG","2.0","23.3","0.1","0.1","1.0","0.0","0.0","3.0"
"","high","2.4","29.0","0.2","0.3","2.0","0.0","0.0","4.2"
"","low","1.5","18.1","0.0","0.0","0.2","0.0","0.0","2.4"
"Tajae Sharpe","TEN","1.7","21.8","0.1","0.1","0.7","0.0","0.0","3.0"
"","high","2.1","26.9","0.2","0.3","2.0","0.0","0.0","3.4"
"","low","1.1","15.9","0.0","0.0","0.0","0.0","0.0","2.8"
"Allen Lazard","GB","1.9","23.3","0.1","0.2","1.2","0.0","0.0","3.0"
"","high","2.9","33.3","0.2","0.6","4.4","0.0","0.0","4.1"
"","low","1.2","14.0","0.0","0.0","0.0","0.0","0.0","1.9"
"Isaiah McKenzie","BUF","1.9","21.5","0.1","0.4","2.2","0.0","0.1","2.9"
"","high","2.2","24.3","0.1","0.7","4.2","0.1","0.0","3.3"
"","low","1.7","18.2","0.0","0.0","0.0","0.0","0.1","2.9"
"Demarcus Robinson","KC","1.7","21.0","0.1","0.0","0.0","0.0","0.0","2.7"
"","high","2.3","29.5","0.2","0.0","0.0","0.0","0.0","4.2"
"","low","1.0","7.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Jarius Wright","CAR","1.8","22.1","0.1","0.2","1.4","0.0","0.0","2.7"
"","high","2.2","27.0","0.1","0.5","3.5","0.0","0.0","3.5"
"","low","1.0","17.0","0.0","0.1","0.1","0.0","0.0","1.7"
"David Moore","SEA","1.5","22.0","0.1","0.0","0.1","0.0","0.0","2.7"
"","high","2.3","29.3","0.2","0.1","0.3","0.0","0.0","3.9"
"","low","0.9","14.0","0.0","0.0","0.0","0.0","0.0","1.4"
"Marvin Hall","DET","1.1","22.6","0.0","0.3","1.1","0.0","0.0","2.6"
"","high","1.4","34.6","0.1","0.7","3.6","0.0","0.0","4.0"
"","low","0.6","11.0","0.0","0.0","0.0","0.0","0.0","1.4"
"Miles Boykin","BAL","1.4","17.9","0.1","0.2","1.7","0.0","0.0","2.6"
"","high","2.2","25.6","0.2","0.5","3.4","0.0","0.0","3.3"
"","low","0.8","10.0","0.0","0.0","0.0","0.0","0.0","1.8"
"Cordarrelle Patterson","CHI","1.2","10.9","0.1","1.4","8.3","0.0","0.0","2.4"
"","high","1.9","17.9","0.1","1.7","11.5","0.1","0.0","2.9"
"","low","0.8","7.0","0.0","0.9","5.7","0.0","0.0","1.5"
"Laquon Treadwell","MIN","1.9","19.2","0.1","0.0","0.0","0.0","0.0","2.4"
"","high","2.8","26.7","0.1","0.0","0.0","0.0","0.0","2.7"
"","low","1.2","10.0","0.0","0.0","0.0","0.0","0.0","1.4"
"Justin Hardy","ATL","1.7","19.0","0.1","0.0","0.1","0.0","0.0","2.3"
"","high","2.0","20.6","0.1","0.1","0.4","0.0","0.0","2.7"
"","low","1.5","16.7","0.0","0.0","0.0","0.0","0.0","2.2"
"Kendrick Bourne","SF","1.4","17.3","0.1","0.0","0.0","0.0","0.0","2.3"
