"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Bruce Miller","JAC","0.0","0.5","0.0","0.7","8.5","0.1","0.0","1.3"
"","high","0.0","1.1","0.0","1.0","13.0","0.1","0.0","1.7"
"","low","0.0","0.0","0.0","0.4","4.0","0.0","0.0","0.7"
"Buddy Howell","HOU","2.2","6.8","0.0","0.5","2.9","0.0","0.0","1.1"
"","high","3.5","13.8","0.1","0.9","4.5","0.0","0.0","2.4"
"","low","1.0","2.4","0.0","0.2","2.0","0.0","0.0","0.6"
"Justice Hill","BAL","1.5","5.6","0.0","0.5","2.6","0.0","0.0","1.1"
"","high","1.9","8.3","0.1","0.7","3.8","0.0","0.0","1.7"
"","low","0.7","3.0","0.0","0.3","1.8","0.0","0.0","1.0"
"Alex Armah","CAR","1.6","4.8","0.0","0.7","4.6","0.0","0.0","1.1"
"","high","2.4","9.6","0.1","1.0","10.0","0.0","0.0","2.1"
"","low","0.6","2.5","0.0","0.2","1.0","0.0","0.0","0.6"
"Patrick Ricard","BAL","0.5","1.3","0.0","0.7","4.4","0.1","0.0","1.1"
"","high","1.2","3.5","0.0","1.0","7.0","0.2","0.0","2.4"
"","low","0.2","-1.1","0.0","0.5","1.1","0.0","0.1","0.6"
"Jeremy McNichols","TEN","1.0","3.6","0.0","0.6","4.6","0.0","0.0","1.1"
"","high","2.0","6.4","0.0","0.9","11.0","0.1","0.0","1.9"
"","low","0.1","0.6","0.0","0.4","2.0","0.0","0.0","0.5"
"Dwayne Washington","NO","0.4","4.0","0.0","0.3","3.0","0.0","0.0","0.9"
"","high","0.8","9.0","0.1","0.5","4.4","0.0","0.0","1.8"
"","low","0.1","0.2","0.0","0.0","0.2","0.0","0.0","0.1"
"Mike Boone","MIN","1.5","5.8","0.0","0.5","2.2","0.0","0.0","0.9"
"","high","3.6","11.2","0.1","1.3","4.7","0.0","0.0","1.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rico Dowdle","DAL","1.2","4.8","0.0","0.2","1.7","0.0","0.0","0.9"
"","high","2.0","9.4","0.1","0.3","2.9","0.0","0.0","1.8"
"","low","0.4","1.0","0.0","0.1","1.0","0.0","0.0","0.4"
"C.J. Ham","MIN","1.1","2.9","0.0","0.6","5.1","0.0","0.0","0.9"
"","high","2.3","6.4","0.0","0.9","8.7","0.0","0.0","1.1"
"","low","0.5","1.7","0.0","0.4","2.0","0.0","0.0","0.8"
"Ryan Nall","CHI","1.5","4.3","0.0","0.5","3.1","0.0","0.0","0.9"
"","high","3.6","12.0","0.1","1.3","4.0","0.0","0.0","1.5"
"","low","0.3","0.0","0.0","0.3","2.2","0.0","0.0","0.5"
