QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31973$nfl.g.2142209,Zach,Gentry,nfl.p.31973$nfl.g.2142209 - Zach Gentry,TE,PIT,CIN,PIT@CIN,1:00PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32559$nfl.g.2142209,Tony,Brooks-James,nfl.p.32559$nfl.g.2142209 - Tony Brooks-James,RB,PIT,CIN,PIT@CIN,1:00PM EST,10,0.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32581$nfl.g.2142209,Devlin,Hodges,nfl.p.32581$nfl.g.2142209 - Devlin Hodges,QB,PIT,CIN,PIT@CIN,1:00PM EST,20,6.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.8497$nfl.g.2142209,Clark,Harris,nfl.p.8497$nfl.g.2142209 - Clark Harris,TE,CIN,PIT,PIT@CIN,1:00PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24791$nfl.g.2142209,A.J.,Green,nfl.p.24791$nfl.g.2142209 - A.J. Green,WR,CIN,PIT,PIT@CIN,1:00PM EST,21,14.0,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.24822$nfl.g.2142209,Andy,Dalton,nfl.p.24822$nfl.g.2142209 - Andy Dalton,QB,CIN,PIT,PIT@CIN,1:00PM EST,22,17.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26644$nfl.g.2142209,Tyler,Eifert,nfl.p.26644$nfl.g.2142209 - Tyler Eifert,TE,CIN,PIT,PIT@CIN,1:00PM EST,13,4.9," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.26660$nfl.g.2142209,Giovani,Bernard,nfl.p.26660$nfl.g.2142209 - Giovani Bernard,RB,CIN,PIT,PIT@CIN,1:00PM EST,10,3.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.28545$nfl.g.2142209,C.J.,Uzomah,nfl.p.28545$nfl.g.2142209 - C.J. Uzomah,TE,CIN,PIT,PIT@CIN,1:00PM EST,10,2.2," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29288$nfl.g.2142209,Tyler,Boyd,nfl.p.29288$nfl.g.2142209 - Tyler Boyd,WR,CIN,PIT,PIT@CIN,1:00PM EST,16,9.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.29703$nfl.g.2142209,Alex,Erickson,nfl.p.29703$nfl.g.2142209 - Alex Erickson,WR,CIN,PIT,PIT@CIN,1:00PM EST,11,4.8," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30161$nfl.g.2142209,Joe,Mixon,nfl.p.30161$nfl.g.2142209 - Joe Mixon,RB,CIN,PIT,PIT@CIN,1:00PM EST,16,10.4," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.30577$nfl.g.2142209,Cethan,Carter,nfl.p.30577$nfl.g.2142209 - Cethan Carter,TE,CIN,PIT,PIT@CIN,1:00PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31223$nfl.g.2142209,Auden,Tate,nfl.p.31223$nfl.g.2142209 - Auden Tate,WR,CIN,PIT,PIT@CIN,1:00PM EST,12,7.7,Q," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31557$nfl.g.2142209,Devonte,Boyd,nfl.p.31557$nfl.g.2142209 - Devonte Boyd,WR,CIN,PIT,PIT@CIN,1:00PM EST,10,0.0," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31884$nfl.g.2142209,Drew,Sample,nfl.p.31884$nfl.g.2142209 - Drew Sample,TE,CIN,PIT,PIT@CIN,1:00PM EST,10,1.4,O," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.31936$nfl.g.2142209,Ryan,Finley,nfl.p.31936$nfl.g.2142209 - Ryan Finley,QB,CIN,PIT,PIT@CIN,1:00PM EST,20,8.1," "," "
" "," "," "," "," "," "," "," "," "," "," ",nfl.p.32014$nfl.g.2142209,Trayveon,Williams,nfl.p.32014$nfl.g.2142209 - Trayveon Williams,RB,CIN,PIT,PIT@CIN,1:00PM EST,10,0.0," "," "
