"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Greg Ward","PHI","2.7","30.7","0.1","0.2","0.8","0.0","0.0","3.9"
"","high","3.8","39.9","0.2","0.3","1.6","0.0","0.0","5.2"
"","low","1.0","21.0","0.0","0.0","0.0","0.0","0.0","2.1"
"Chase Claypool","PIT","2.0","29.0","0.1","0.2","0.9","0.0","0.0","3.8"
"","high","3.4","46.2","0.3","0.3","1.3","0.0","0.0","6.5"
"","low","1.1","16.0","0.0","0.1","0.7","0.0","0.1","2.2"
"Willie Snead IV","BAL","2.4","29.4","0.1","0.1","0.3","0.0","0.0","3.8"
"","high","3.6","41.6","0.2","0.2","0.9","0.0","0.0","4.5"
"","low","1.0","21.0","0.0","0.0","0.0","0.0","0.0","2.1"
"Dontrelle Inman","WAS","2.3","31.2","0.1","0.0","0.1","0.0","0.0","3.7"
"","high","3.0","39.2","0.2","0.1","0.5","0.0","0.0","5.1"
"","low","1.0","15.0","0.0","0.0","0.0","0.0","0.0","1.5"
"Van Jefferson","LAR","2.4","29.9","0.1","0.3","1.4","0.0","0.0","3.7"
"","high","4.0","47.2","0.2","0.4","2.0","0.0","0.0","4.9"
"","low","1.3","18.7","0.0","0.2","0.5","0.0","0.1","2.1"
"Deonte Harris","NO","2.4","26.9","0.1","0.4","3.4","0.0","0.0","3.7"
"","high","3.7","37.0","0.2","0.9","7.6","0.1","0.0","5.0"
"","low","1.6","17.0","0.0","0.0","0.0","0.0","0.0","2.5"
"Demarcus Robinson","KC","2.4","30.0","0.1","0.0","0.2","0.0","0.0","3.7"
"","high","3.8","48.6","0.2","0.1","0.8","0.0","0.0","4.6"
"","low","1.4","17.6","0.0","0.0","0.0","0.0","0.0","2.3"
"Kenny Stills","HOU","2.0","27.9","0.1","0.0","0.0","0.0","0.0","3.6"
"","high","2.7","39.0","0.3","0.0","0.1","0.0","0.0","5.7"
"","low","1.3","20.0","0.0","0.0","0.0","0.0","0.0","2.9"
"Josh Malone","NYJ","2.4","27.8","0.1","0.2","1.2","0.0","0.0","3.6"
"","high","3.5","42.3","0.2","0.5","2.0","0.0","0.0","5.2"
"","low","1.2","15.3","0.0","0.0","0.0","0.0","0.0","2.1"
"Tim Patrick","DEN","2.4","30.2","0.1","0.0","0.2","0.0","0.0","3.5"
"","high","3.0","35.3","0.2","0.1","0.6","0.0","0.0","4.5"
"","low","1.6","19.7","0.0","0.0","0.0","0.0","0.0","2.5"
"Davante Adams","GB","2.2","27.5","0.1","0.1","0.3","0.0","0.0","3.4"
"","high","3.0","37.9","0.3","0.1","0.6","0.0","0.0","5.6"
"","low","1.0","10.0","0.0","0.0","0.0","0.0","0.0","1.0"
"Nelson Agholor","LV","2.1","25.6","0.1","0.1","0.5","0.0","0.0","3.2"
"","high","2.6","32.5","0.2","0.2","1.1","0.0","0.0","4.0"
"","low","0.7","9.4","0.0","0.0","0.0","0.0","0.0","1.1"
"Cordarrelle Patterson","CHI","1.3","12.8","0.0","2.8","13.6","0.1","0.0","3.2"
"","high","2.7","25.5","0.1","3.9","18.0","0.1","0.0","4.0"
"","low","0.4","4.9","0.0","1.3","7.6","0.0","0.0","2.2"
"Josh Reynolds","LAR","1.8","24.2","0.1","0.2","0.8","0.0","0.0","3.0"
"","high","2.6","34.3","0.2","0.3","1.6","0.0","0.0","4.3"
"","low","1.0","11.0","0.0","0.0","0.0","0.0","0.0","1.1"
"Jalen Guyton","LAC","1.6","21.4","0.1","0.0","0.2","0.0","0.0","3.0"
"","high","2.2","29.0","0.3","0.1","0.6","0.0","0.0","4.6"
"","low","1.3","14.1","0.0","0.0","0.0","0.0","0.0","2.0"
"Deontay Burnett","PHI","1.3","20.0","0.2","0.0","0.1","0.0","0.0","3.0"
"","high","1.3","20.0","0.2","0.0","0.1","0.0","0.0","3.0"
"","low","1.3","20.0","0.2","0.0","0.1","0.0","0.0","3.0"
"Cam Batson","TEN","1.8","21.7","0.1","0.2","1.5","0.0","0.0","2.9"
"","high","2.7","32.0","0.2","0.6","3.4","0.0","0.0","4.1"
"","low","0.7","9.2","0.0","0.0","0.0","0.0","0.0","1.5"
"Trent Taylor","SF","1.9","23.0","0.1","0.0","0.1","0.0","0.0","2.7"
"","high","3.4","42.0","0.2","0.1","0.5","0.0","0.0","4.9"
"","low","0.7","8.6","0.0","0.0","0.0","0.0","0.0","1.2"
"Malik Taylor","GB","1.7","20.8","0.1","0.0","0.2","0.0","0.0","2.7"
"","high","2.4","29.5","0.2","0.1","0.3","0.0","0.0","4.0"
"","low","1.3","16.4","0.0","0.0","0.0","0.0","0.0","2.3"
"Mohamed Sanu","SF","1.6","19.6","0.1","0.0","0.3","0.0","0.0","2.5"
"","high","2.5","30.4","0.2","0.1","0.9","0.0","0.0","4.0"
"","low","1.0","14.0","0.0","0.0","0.0","0.0","0.0","1.8"
"Kalif Raymond","TEN","1.3","17.7","0.1","0.1","0.5","0.0","0.0","2.5"
"","high","1.7","23.1","0.3","0.2","1.0","0.0","0.0","3.9"
"","low","0.9","12.4","0.0","0.0","0.0","0.0","0.0","1.5"
"Quintez Cephus","DET","1.5","20.0","0.1","0.0","0.3","0.0","0.0","2.4"
"","high","3.0","36.0","0.1","0.1","0.9","0.0","0.0","3.0"
"","low","0.7","8.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Collin Johnson","JAC","1.4","18.1","0.1","0.0","0.2","0.0","0.0","2.4"
"","high","2.0","28.3","0.2","0.1","0.5","0.0","0.0","4.3"
"","low","0.6","9.5","0.0","0.0","0.0","0.0","0.0","1.3"
