"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","low","0.1","0.2","0.0","0.2","1.1","0.0","0.0","0.4"
"Jamize Olawale","DAL","0.8","2.7","0.0","0.4","1.7","0.0","0.0","0.6"
"","high","2.4","7.0","0.0","0.9","2.9","0.0","0.0","0.6"
"","low","0.1","0.6","0.0","0.1","0.5","0.0","0.0","0.4"
"Troymaine Pope","LAC","1.1","2.9","0.0","0.4","1.5","0.0","0.0","0.6"
"","high","2.7","7.3","0.0","0.8","2.3","0.0","0.0","0.5"
"","low","0.1","0.5","0.0","0.1","1.0","0.0","0.0","0.4"
"Rod Smith","TEN","0.7","2.0","0.0","0.4","1.9","0.0","0.0","0.6"
"","high","1.6","4.5","0.0","0.6","2.8","0.0","0.0","0.8"
"","low","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.2"
"Chandler Cox","MIA","0.3","1.0","0.0","0.3","3.0","0.0","0.0","0.6"
"","high","0.3","1.0","0.0","0.3","3.0","0.0","0.0","0.6"
"","low","0.3","1.0","0.0","0.3","3.0","0.0","0.0","0.6"
"Alec Ingold","OAK","0.8","2.7","0.0","0.3","1.0","0.0","0.0","0.5"
"","high","1.9","5.6","0.0","0.8","2.0","0.0","0.0","0.7"
"","low","0.4","1.4","0.0","0.0","0.0","0.0","0.0","0.3"
"Patrick Ricard","BAL","0.0","0.0","0.0","0.3","1.4","0.0","0.0","0.5"
"","high","0.1","0.0","0.0","0.5","2.0","0.1","0.0","0.9"
"","low","0.0","0.0","0.0","0.1","0.5","0.0","0.0","0.2"
"Dexter Williams","GB","0.7","2.0","0.0","0.3","0.7","0.0","0.0","0.4"
"","high","1.9","5.6","0.0","0.8","1.7","0.0","0.0","0.3"
"","low","0.0","0.0","0.0","0.1","0.0","0.0","0.0","0.2"
"Nick Bellore","SEA","0.1","0.6","0.0","0.2","1.7","0.0","0.0","0.4"
"","high","0.2","1.0","0.0","0.2","3.1","0.0","0.0","0.4"
"","low","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.3"
"Senorise Perry","BUF","0.3","1.1","0.0","0.2","1.3","0.0","0.0","0.3"
"","high","0.6","2.0","0.0","0.2","1.6","0.0","0.0","0.4"
"","low","0.0","0.1","0.0","0.1","1.0","0.0","0.0","0.3"
