"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"","high","1.8","1.2","12.2","0.1","0.1","0.2","0.2","0.0","0.0","0.7"
"","low","1.8","1.2","12.2","0.1","0.1","0.2","0.2","0.0","0.0","0.7"
"Logan Woodside","TEN","0.8","0.6","11.4","0.1","0.1","0.1","0.4","0.0","0.0","0.7"
"","high","0.8","0.6","16.0","0.1","0.0","0.1","0.5","0.0","0.0","0.8"
"","low","0.8","0.6","6.8","0.1","0.1","0.1","0.3","0.0","0.0","0.7"
"Geno Smith","SEA","1.1","0.6","6.8","0.1","0.0","0.3","0.3","0.0","0.0","0.7"
"","high","1.1","0.6","6.8","0.1","0.0","0.3","0.3","0.0","0.0","0.7"
"","low","1.1","0.6","6.8","0.1","0.0","0.3","0.3","0.0","0.0","0.7"
"Case Keenum","CLE","0.9","0.6","7.3","0.1","0.0","0.0","0.1","0.0","0.0","0.7"
"","high","0.9","0.6","7.3","0.1","0.0","0.0","0.1","0.0","0.0","0.7"
"","low","0.9","0.6","7.3","0.1","0.0","0.0","0.1","0.0","0.0","0.7"
"Phillip Walker","CAR","1.2","0.8","10.9","0.0","0.0","0.1","0.7","0.0","0.0","0.7"
"","high","1.2","0.8","14.1","0.1","0.0","0.1","1.1","0.0","0.0","1.1"
"","low","1.2","0.8","7.8","0.0","0.1","0.1","0.2","0.0","0.0","0.3"
"Brett Rypien","DEN","0.0","0.0","13.6","0.1","0.1","0.0","0.0","0.0","0.0","0.6"
"","high","0.0","0.0","13.6","0.1","0.1","0.0","0.0","0.0","0.0","0.7"
"","low","0.0","0.0","13.6","0.1","0.1","0.0","0.0","0.0","0.0","0.7"
"John Wolford","LAR","1.0","0.7","11.7","0.0","0.1","0.1","0.8","0.0","0.0","0.6"
"","high","1.0","0.7","15.9","0.1","0.0","0.1","1.5","0.0","0.0","1.0"
"","low","1.0","0.7","7.6","0.0","0.1","0.1","0.2","0.0","0.0","0.3"
"Robert Griffin III","BAL","1.2","0.8","9.0","0.0","0.0","0.3","2.1","0.0","0.0","0.6"
"","high","1.2","0.8","9.0","0.0","0.0","0.3","2.1","0.0","0.0","0.6"
"","low","1.2","0.8","9.0","0.0","0.0","0.3","2.1","0.0","0.0","0.6"
"Jacoby Brissett","IND","0.7","0.4","10.4","0.0","0.0","0.1","0.3","0.0","0.0","0.5"
"","high","0.7","0.4","16.3","0.1","0.0","0.1","0.5","0.0","0.0","0.9"
"","low","0.7","0.4","4.6","0.0","0.1","0.1","0.0","0.0","0.0","0.2"
"Mike Glennon","JAC","0.0","0.0","9.6","0.1","0.1","0.0","0.0","0.0","0.0","0.5"
"","high","0.0","0.0","9.6","0.1","0.1","0.0","0.0","0.0","0.0","0.6"
"","low","0.0","0.0","9.6","0.1","0.1","0.0","0.0","0.0","0.0","0.6"
"Matt Barkley","BUF","1.1","0.6","7.1","0.0","0.0","0.2","0.2","0.0","0.0","0.3"
"","high","1.1","0.6","7.1","0.0","0.0","0.2","0.2","0.0","0.0","0.3"
"","low","1.1","0.6","7.1","0.0","0.0","0.2","0.2","0.0","0.0","0.3"
"Tim Boyle","GB","0.8","0.5","5.3","0.0","0.0","0.2","0.2","0.0","0.0","0.2"
"","high","0.8","0.5","5.3","0.0","0.0","0.2","0.2","0.0","0.0","0.2"
"","low","0.8","0.5","5.3","0.0","0.0","0.2","0.2","0.0","0.0","0.2"
"AJ McCarron","HOU","1.3","0.8","9.3","0.0","0.1","0.1","0.3","0.0","0.0","0.2"
"","high","1.3","0.8","9.3","0.0","0.1","0.1","0.3","0.0","0.0","0.2"
"","low","1.3","0.8","9.3","0.0","0.1","0.1","0.3","0.0","0.0","0.2"
"Jacob Eason","IND","0.6","0.4","4.2","0.0","0.0","0.0","0.1","0.0","0.0","0.2"
"","high","0.6","0.4","4.2","0.0","0.0","0.0","0.1","0.0","0.0","0.2"
"","low","0.6","0.4","4.2","0.0","0.0","0.0","0.1","0.0","0.0","0.2"
"Jarrett Stidham","NE","0.5","0.3","3.5","0.0","0.0","0.2","0.1","0.0","0.0","0.2"
"","high","0.5","0.3","3.5","0.0","0.0","0.2","0.1","0.0","0.0","0.2"
"","low","0.5","0.3","3.5","0.0","0.0","0.2","0.1","0.0","0.0","0.2"
"Sean Mannion","MIN","1.1","0.7","7.6","0.0","0.1","0.3","0.2","0.0","0.0","0.1"
"","high","1.1","0.7","7.6","0.0","0.1","0.3","0.2","0.0","0.0","0.1"
"","low","1.1","0.7","7.6","0.0","0.1","0.3","0.2","0.0","0.0","0.1"
"Jake Fromm","BUF","0.3","0.1","1.8","0.0","0.0","0.0","0.1","0.0","0.0","0.1"
"","high","0.3","0.1","1.8","0.0","0.0","0.0","0.1","0.0","0.0","0.1"
"","low","0.3","0.1","1.8","0.0","0.0","0.0","0.1","0.0","0.0","0.1"
"Trevor Siemian","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
