"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"292","Tavon Austin","DAL","wr","8","@PHI","1.9","10","0","0","0","0","0","0","0.7608","5.2969","0.0221","1.0147","0.6604","5.6793","0.0326","0.0301","0.0151","0.0017","15.8118","0.0203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"293","Scott Simonson","NYG","te","11","@WAS","0.9","10","0","0","0","0","0","0","0","0","0","0.6522","0.466","4.6291","0.0342","0.0016","0.0008","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"294","Mo Alie-Cox","IND","te","6","CAR","0.9","10","0","0","0","0","0","0","0","0","0","0.5846","0.3969","5.0835","0.0334","0.0013","0.0007","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"295","Isaac Nauta","DET","te","5","@DEN","0.9","10","0","0","0","0","0","0","0","0","0","0.636","0.4403","4.8807","0.0312","0.0015","0.0008","0.0011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"296","Cethan Carter","CIN","te","9","@MIA","0.9","10","0","0","0","0","0","0","0","0","0","0.6196","0.4449","4.8932","0.0288","0.0016","0.0008","0.0012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"297","Troy Fumagalli","DEN","te","10","DET","0.9","10","0","0","0","0","0","0","0","0","0","0.6293","0.4368","4.8794","0.0321","0.0015","0.0008","0.0012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"298","Dan Arnold","ARZ","te","12","@SEA","0.9","10","0","0","0","0","0","0","0","0","0","0.7087","0.4485","5.2607","0.0245","0.0031","0.0016","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"299","Kerrith Whyte Jr.","PIT","rb","7","@NYJ","0.8","10","0","0","0","0","0","0","1.3193","5.1934","0.0313","0","0","0","0","0.0247","0.0123","0.0005","29.3685","0.0129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"300","Reggie Bonnafon","CAR","rb","7","@IND","0.8","10","0","0","0","0","0","0","1.0853","4.1534","0.028","0.1765","0.136","0.9453","0.003","0.0116","0.0058","0.0006","11.3423","0.0038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"301","Kenjon Barner","ATL","rb","9","JAX","0.7","10","0","0","0","0","0","0","0","0","0","0.5082","0.397","2.6036","0.0179","0.0442","0.0221","0.0004","44.2811","0.0321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"302","Jay Ajayi","PHI","rb","10","DAL","0.7","10","0","0","0","0","0","0","0.734","3.2919","0.0234","0.1883","0.1475","1.0566","0.0057","0.0091","0.0046","0.0016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
