opponent,over_under_line,schedule_season,schedule_week,team,weather_detail,weather_temperature,weather_wind_mph,spread_team,is_favorite
ATL,35,1991,13,NO,DOME,72.0,0.0,6.5,1
ATL,39,1992,14,NO,DOME,72.0,0.0,10.0,1
ATL,43,1993,8,NO,DOME,72.0,0.0,11.0,1
ATL,43.5,1994,11,NO,DOME,72.0,0.0,2.5,1
ATL,46.5,1995,3,NO,DOME,72.0,0.0,3.0,1
ATL,41,1996,15,NO,DOME,72.0,0.0,2.0,1
ATL,38,1997,7,NO,DOME,72.0,0.0,2.0,1
ATL,41.5,1998,15,NO,DOME,72.0,0.0,-4.0,0
ATL,35.5,1999,5,NO,DOME,72.0,0.0,3.0,1
ATL,41,2000,16,NO,DOME,72.0,0.0,10.0,1
ATL,42,2001,6,NO,DOME,72.0,0.0,8.0,1
ATL,47,2002,8,NO,DOME,72.0,0.0,3.5,1
ATL,44,2003,11,NO,DOME,72.0,0.0,9.0,1
ATL,44,2004,16,NO,DOME,72.0,0.0,6.5,1
